,Anime Title,Release Year,Genre,Duration,Rating,Description,No. of Votes
31,Jujutsu Kaisen 0,2021,"Animation,Action,Fantasy",112,7.8,"Yuta Okkotsu, a high schooler who gains control of an extremely powerful Cursed Spirit and gets enrolled in the Tokyo Prefectural Jujutsu High School by Jujutsu Sorcerers to help him control his power and keep an eye on him.","28,938"
32,Haikyu!!,2014–2020,"Animation,Comedy,Drama",24,8.7,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.","31,784"
33,Tokyo Revengers,2021–OA,"Animation,Action,Drama",24,7.9,"Hanagaki Takemichi lives an unsatisfying life right up until his death. Waking up 12 years in the past, he reckons with the eventual fate of his friends and tries to prevent an unfortunate future.","22,521"
34,Ghost in the Shell,1995,"Animation,Action,Crime",83,7.9,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,"151,551"
35,Heavenly Delusion,2023,"Animation,Adventure,Mystery",24,8.0,"A boy grows up behind the safe walls of an apocalyptic Japan full of monsters. Tokyo flourishes as a paradise, while outside the walls of hell dangers lurk. However, a small group searches for heaven.","4,182"
36,Rent-a-Girlfriend,2020–OA,"Animation,Comedy,Romance",23,7.0,"After being dumped by his girlfriend, a college student enlists a dating service to ""rent"" a girlfriend who, unbeknownst to him, happens to be both a fellow student and his neighbor.","7,461"
37,Boruto: Naruto Next Generations,2017–OA,"Animation,Action,Adventure",23,6.5,"Son of Naruto Uzumaki, Boruto, follows his father's footsteps along with his friends to become great ninja. Throughout all their adventures, Boruto is determined to make his mark in the ninja world and live outside of his father's shadow.","26,833"
38,Mob Psycho 100,2016–2022,"Animation,Action,Comedy",24,8.6,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","40,670"
39,Goblin Slayer,2018–OA,"Animation,Action,Adventure",30,7.5,"In a fantasy world, a lone hero makes his living by exterminating all goblins he encounters. But one day he meets a friend, and his life begins to become more intense.","9,293"
40,Steins;Gate,2011–2015,"Animation,Comedy,Drama",24,8.8,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","69,388"
41,The Seven Deadly Sins: Signs of Holy War,2014–2021,"Animation,Action,Adventure",24,7.8,"The story of the Seven Deadly Sins, a group of warriors who were wrongly accused of a crime they didn't commit and went on a quest to vindicate themselves.","36,105"
42,Sword Art Online,2012–OA,"Animation,Action,Adventure",24,7.5,"In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape.","50,237"
43,A Silent Voice: The Movie,2016,"Animation,Drama",130,8.1,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.","94,071"
44,Paprika,2006,"Animation,Drama,Fantasy",90,7.7,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.","91,265"
45,Nausicaä of the Valley of the Wind,1984,"Animation,Adventure,Sci-Fi",117,8.0,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"176,929"
46,Tokyo Ghoul,2014,"Animation,Action,Drama",24,7.7,"A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run.","60,814"
47,Fairy Tail,2009–2019,"Animation,Action,Adventure",24,7.9,"Lucy, an aspiring Celestial Wizard, becomes a friend and ally to powerful wizards Natsu, Gray, and Erza, who are part of the (in)famous wizard guild, Fairy Tail.","26,871"
48,The Wind Rises,2013,"Animation,Biography,Drama",126,7.7,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.","93,216"
49,Devilman: Crybaby,2018,"Animation,Action,Drama",25,7.6,"With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo.","25,853"
50,"Re: Zero, Starting Life in Another World",2016–OA,"Animation,Adventure,Drama",24,8.1,"After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat itself.","22,114"
51,Fruits Basket,2019–2021,"Animation,Comedy,Drama",24,8.6,"After Tohru is taken in by the Soma family, she learns that twelve family members transform involuntarily into animals of the Chinese zodiac and helps them deal with the emotional pain caused by the transformations.","8,110"
52,Dr. Stone,2019–OA,"Animation,Action,Adventure",24,8.1,"Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization.","25,321"
53,High School DxD,2012–2018,"Animation,Action,Comedy",23,7.6,"After being killed on his first date, idiotic and perverted Issei Hyodo is resurrected as a demon by Rias Gremory only to be recruited into her club of high-class devils.","12,641"
54,Frieren: Beyond Journey's End,2023–OA,"Animation,Adventure,Drama",30,8.8,"An elf and her friends defeat a demon king in a great war. But the war is over, and the elf must search for a new way of life.",220
55,Kingdom,2012–OA,"Animation,Action,Drama",25,8.5,"In ancient China, a young boy dreams of becoming the greatest general of the Qin Kingdom.","2,780"
56,Kaguya-sama: Love is War,2019–2023,"Animation,Comedy,Romance",24,8.5,The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.,"18,022"
57,The Promised Neverland,2019–2021,"Animation,Action,Adventure",23,8.2,"When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan.","44,003"
58,Erased,2016,"Animation,Crime,Drama",264,8.5,"29-year-old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings while he was in 5th grade.","54,616"
59,Parasyte: The Maxim,2014–2015,"Animation,Action,Drama",22,8.3,"17-year-old Shinichi Izumi is partially infected by a Parasyte, monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a Parasyte and a human as part monster, part person.","44,717"
60,Belle,2021,"Animation,Adventure,Drama",121,7.1,"Suzu is a shy high school student living in a rural village. For years, she has only been a shadow of herself. But when she enters ""U"", a massive virtual world, she escapes into her online persona as Belle, a globally-beloved singer.","15,662"
61,Fullmetal Alchemist,2003–2004,"Animation,Action,Adventure",24,8.5,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.","75,142"
62,Violet Evergarden,2018,"Animation,Drama,Fantasy",24,8.4,"In the aftermath of a great war, Violet Evergarden, a young female ex-soldier, gets a job at a writers' agency and goes on assignments to create letters that can connect people.","27,183"
63,Weathering with You,2019,"Animation,Drama,Fantasy",112,7.5,"Set during a period of exceptionally rainy weather, high-school boy Hodaka Morishima runs away from his troubled rural home to Tokyo and befriends an orphan girl who can manipulate the weather.","50,985"
64,Whisper of the Heart,1995,"Animation,Drama,Family",111,7.8,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.","68,669"
65,Overlord,2015–OA,"Animation,Action,Adventure",30,7.7,"An office worker in a dystopian world logs onto a video game for the last time only to find out that he, along with his entire guild, has been transported to another reality.","12,537"
66,Neon Genesis Evangelion: The End of Evangelion,1997,"Animation,Action,Drama",87,8.1,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,"60,684"
67,Demon Slayer the Movie: Mugen Train,2020,"Animation,Action,Adventure",117,8.2,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.","68,134"
68,Konosuba: God's Blessing on This Wonderful World!,2016–2023,"Animation,Adventure,Comedy",24,7.8,It was a happy day for Kazuma - right up to the moment he died. A goddess intervenes and offers him a second chance in a magical land.,"13,534"
