,Anime Title,Release Year,Genre,Duration,Rating,Description,No. of Votes
244,"The Night Is Short, Walk on Girl",2017,"Animation,Adventure,Comedy",92,7.5,"In this comedy about one epic night in Kyoto, a college sophomore goes on a series of surreal encounters with the local nightlife, all the while unaware of the romantic longings of her classmate Senpai.","5,955"
245,The Hidden Dungeon Only I Can Enter,2021,"Animation,Action,Adventure",24,6.4,"The Hidden Dungeon is a place of legend where rare treasures and items are hidden. Nor, the third son of an impoverished noble family who's lost the one job offer he had, was lucky enough to hear about this dungeon.","1,898"
246,The Deer King,2021,"Animation,Action,Adventure",113,6.4,"The last survivor of a band of warriors is enslaved in a salt mine. One night, savage dogs attack and a mysterious disease wipes out everyone at the mine. The warrior escapes with a little girl, while a gifted physician looks for a cure.",825
247,Patlabor: The Movie,1989,"Animation,Action,Crime",100,7.0,The screwball cops of Special Vehicles Section 2 Division 2 must investigate and stop a spree of rampaging construction robots.,"5,459"
248,Little Witch Academia,2017,"Animation,Adventure,Comedy",25,7.8,"Akko enrolls at the Luna Nova Witchcraft Academy. She's not the best student, but her bright attitude is the key to her and her friends' success.","3,810"
249,In This Corner (and Other Corners) of the World,2016,"Animation,Drama,Family",129,7.8,A spirited 18-year-old woman is married off to a man she barely knows as she combats the daily struggles of living in Hiroshima during World War II.,"12,027"
250,The Demon Sword Master of Excalibur Academy,2022–OA,"Animation,Action,Fantasy",NA,9.2,"A dark lord awakens from a thousand-year slumber, only to find the world under attack from monsters and so he must ally himself the humans he once fought against to stop them.",29
251,Zombieland Saga,2018–OA,"Animation,Comedy,Fantasy",24,7.1,A young singer dies and becomes a zombie. She is put in a musical group with other zombie singer girls as part of a campaign to save the world.,"1,374"
252,Mieruko-chan,2021,"Animation,Comedy,Fantasy",24,7.2,"She can see dead people... she just chooses to ignore them. That's Miko's plan anyway, with horrifying (and sometimes hilarious) results.","2,225"
253,A Certain Scientific Railgun,2009–2020,"Animation,Action,Comedy",24,7.5,"In Toaru Kagaku no Railgun T Mikoto Misaka and her friends prepare for the Daihasei Festival, a seven-day sports competition between different Esper schools, which, of course, also include ...                See full summary »","1,778"
254,Karakai Jouzu no Takagi-san,2018–2022,"Animation,Comedy,Romance",23,7.7,"If you blush, you lose. Nishikata has been teased mercilessly by Takagi and always winds up blushing! But he vows to one day get back at her.","2,669"
255,Beyblade Burst,2016–OA,"Animation,Action,Adventure",24,6.8,"Valt Aoi is a hot-blooded kid who loves to attack and wields a Beyblade named Valkyrie. His close friend Shu Kurenai is an elite Blader who is a genius but still puts in a lot of effort, and wields the Beyblade named Spriggan.",754
256,Immoral Guild,2022,"Animation,Comedy,Fantasy",NA,6.1,"The story follows the skilled hunter Kikuru Madan, who has decided to retire out of fear of wasting his youth. One day, a guild staff member suggests that he go on a quest with a new female martial artist named Hitamu Kyan.",297
257,Bakugan Battle Brawlers,2007–2011,"Animation,Action,Adventure",22,5.7,A boy wants to be the best in ranking of an inter-dimensional game.,"3,236"
258,Radiant,2018–OA,"Animation,Adventure,Fantasy",24,6.7,"Synopsis Seth is an aspiring sorcerer from the Pompo Hills area. Like all wizards, he is an ""infected,"" one of the few living beings who survived the contact of the Nemesis--creatures ...                See full summary »",603
259,Sword Art Online the Movie: Ordinal Scale,2017,"Animation,Action,Adventure",119,7.3,"Kirito uncovers a conspiracy within Ordinal Scale, a popular AR game developed for a new system called The Augma.","8,738"
260,A Certain Magical Index,2008–2019,"Animation,Action,Comedy",23,6.8,Index is still a fugitive and many powerful Magical organizations and individuals want to take her to use the books in her memory eliminating her in the process. War between those ...                See full summary »,"2,202"
261,Mobile Suit Gundam ZZ,1986–1987,"Animation,Action,Comedy",30,6.8,"Following the decisive battle against the Titans, AEUG's Argama crew (along with a new bunch of kids), has little time to regroup as a new threat looms in the horizon: Haman's Neo Zeon!",675
262,Flavors of Youth,2018,"Animation,Drama,Romance",74,6.6,Three different stories of youth set in different cities of China.,"8,263"
263,The Iceblade Sorcerer Shall Rule the World,2023,"Animation,Action,Adventure",NA,6.3,"Everyone knows of the most powerful soldier, the Iceblade Magician, who led the country to victory three years ago, but few know his true name: Ray White. After weathering through a bloody ...                See full summary »",558
264,White Snake,2019,"Animation,Action,Adventure",99,7.0,A love story between a snake spirit and a snake hunter.,"5,007"
265,Malevolent Spirits: Mononogatari,2023–OA,"Animation,Action,Fantasy",NA,6.8,"When spirits cross over into the human world, they can possess old objects and gain a physical form: a tsukumogami. Tsukumogami can be gentle, violent, or somewhere in-between, so the ...                See full summary »",212
266,Gold Kingdom and Water Kingdom,2023,"Animation,Drama,Fantasy",116,7.1,"Sara and Naranbayar, a princess and young man from either country who meet by chance, and find that they must act as a couple to maintain peace in their realms. Even so, they find that they slowly fall for each other.",54
267,NiNoKuni,2019,"Animation,Action,Adventure",106,6.1,"High school peers Yuu and Haru travel between the real world and a parallel fantasy universe to help their friend Kotona, whose life is in danger.","3,793"
268,Tekkonkinkreet,2006,"Animation,Action,Adventure",111,7.5,Two boys defend Treasure Town and Yakuza try to take over and clear it for new development.,"14,250"
269,Is this a Zombie?,2011–2012,"Animation,Action,Comedy",25,6.9,Ayumu has no pulse and very little luck. He was murdered by a serial killer and has been brought back to life. Sort of. He has come back as a zombie in servitude to the cute necromancer who...                See full summary »,"1,882"
270,Gabriel and the Guardians,2023–OA,"Animation,Adventure,Fantasy",NA,NA,"Gabriel and the Guardians is an epic anime fantasy that tells the journey of Gabriel, a Celestial being from an unseen realm, who collides with mortals and dark giants in a battle for destiny and light.",NA
271,Eden,IOA2021–OA,"Animation,Action,Adventure",25,6.6,"A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished.","1,386"
272,Wings of Honneamise,1987,"Animation,Drama,Sci-Fi",121,7.2,"In an alternative Earth, a young astronaut participates in a controversial fledgling space program.","5,596"
273,The Reincarnation of the Strongest Exorcist in Another World,2023,"Animation,Action,Adventure",23,7.1,"Haruyoshi Kuga uses a reincarnation spell to bring Seika Lamprogue happiness, but his onmyo art exceeds the world's magic.",798
274,Captain Tsubasa,2018–2019,"Animation,Drama,Family",22,8.2,A 11-year-old boy who loves soccer and dreams to be the best.,"1,887"
275,Barakamon,2014,"Animation,Comedy,Drama",24,8.2,"A proud young calligrapher is punished for punching a critic by being sent to a faraway island in the east coast of Japan. But as he meets and lives with the island's friendly people, his attitude begins to improve.","3,996"
276,Kizumonogatari Part 1: Tekketsu,2016,"Animation,Action,Comedy",64,7.3,Follows Araragi's encounter with the vampire Kiss-shot Acerola-orion Heart-under-blade and his journey back into humanity from being a vampire.,"3,473"
277,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,2022,"Animation,Action,Adventure",114,6.8,"Corporate worker Mikami is stabbed by a random killer, is reborn to an alternate world. But he is reborn as a slime. He is Thrown into this new world with the name Rimuru, he begins his quest to create a world that's welcoming to all races","1,375"
278,Btooom!,2012,"Animation,Action,Drama",25,7.1,"You're stuck on survival island until you gather 7 gems, and the only way to get gems is by killing other people.","4,553"
279,Myriad Colors Phantom World,2016–OA,"Animation,Fantasy",24,6.3,"When phantoms cause trouble, it's up to Haruhiko and his Phantom Hunting Club teammates to take care of them! If they can, that is.",880
280,Yu-Gi-Oh!: The Movie - Pyramid of Light,2004,"Animation,Action,Adventure",90,4.9,"Underneath the sands of Egypt, Anubis, an ancient evil spirit, has awakened. It's up to Yugi, who defeated Anubis centuries ago, to use his skill and determination to rid the world of evil once again.","8,913"
281,Bobobo-bo Bo-bobo,2003–2005,"Animation,Action,Adventure",26,7.1,"The impossible adventures of Bobobo-bo Bo-bobo, a warrior who fights using his nose hairs to defeat an evil empire that wants to turn the human race bald.",967
282,Knights of the Zodiac: Saint Seiya,2019–2022,"Animation,Action,Adventure",24,4.6,A digital remake from the Japanese anime classic Saint Seiya: Knights of the Zodiac (1986).,"2,144"
283,Colorful,2010,"Animation,Drama,Fantasy",126,7.4,"A sinful spirit is granted the opportunity to prove worthy for rebirth, inhabiting the body of a student who killed himself.","6,808"
284,Macross: Do You Remember Love?,1984,"Animation,Action,Adventure",114,7.7,"Earth braces for an invasion of giant male bionoids and their enemy, giant female bionoids.","3,333"
285,Fist of the North Star,1986,"Animation,Action,Drama",110,7.1,"In a post-nuclear hellscape, a master of the deadly martial art ""Hokuto Shinken"" allies with two kids and an expert in ""Nanto Suicho-Ken"" to battle the tyrants who kidnapped his lover.","7,141"
286,Free!,2013–2018,"Animation,Comedy,Drama",24,7.4,"Free! revolves around members of a high school boy's swimming team. Four boys-Haruka, Makoto, Nagisa and Rin-all participated in a swimming tournament shortly before graduating elementary ...                See full summary »","3,461"
287,To Love-Ru - Darkness,2012–2017,"Animation,Comedy,Drama",25,7.0,"Lala's little sister, Momo Belia Deviluke, has fallen in love with Rito. Momo plots to steal Rito away from her sister, Lala. She hopes that if Rito marries Lala, he can legally marry every girl who is in love of him.","1,052"
288,Tsugumomo,2017–2020,"Animation,Action,Mystery",NA,6.7,"A normal high school student treasures a gift his mother gave him. One day, he finds out the true power of this gift and is drawn into a whole new world, complete with a harem of beautiful women.",462
289,Shangri-La Frontier,2023,"Animation,Action,Adventure",25,8.1,"Second year high school student Rakuro Hizutome is interested in one thing only: finding ""shitty games"" and beating the crap out of them. So when he's introduced to the new VR game , he skips the prologue to jump straight into the action.",28
290,O Maidens in Your Savage Season,2019,"Animation,Comedy,Drama",24,7.2,"Girls in a high school literature club answer the question ""What's one thing you want to do before you die"" with sex, leading to a whirlwind of emotions.",876
291,Tsukigakirei,2017,"Animation,Drama,Romance",24,7.8,A romance forms between two shy third year middle school students.,"2,335"
292,Love Flops,2022–OA,"Animation,Comedy,Romance",NA,6.2,Asahi Kashiwagi lives the normal life of a high school student until one day a TV fortune teller's predictions come true one after another. Fate ties his life and five beautiful girls together. But one day something happens.,379
293,Wonderland,2011,"Action,Fantasy,Horror",80,3.6,"A new drug grants its users the ability to place their consciousness into the bodies of other people. Soon, a serial killer begins to use the drug as a way to live and die as other people by forcing his victims to kill themselves.",365
294,Thermae Romae Novae,2022,"Animation,Comedy,Fantasy",30,7.0,"The Roman architect Lucius is transported through time to modern-day Japan, where he learns about Japanese bathhouses and uses this to his gain back home.","1,121"
295,Our Last Crusade or the Rise of a New World,2020–OA,"Animation,Action,Fantasy",23,6.4,"As a war rages on between a machine-based empire and a magic-focused empire, a witch and a soldier meet and fall in love. Will their romance bring an end to their nations' conflict?",881
296,Yuuna and the Haunted Hot Springs,2018–2020,"Animation,Comedy,Fantasy",24,6.8,A young man with connections to the supernatural rents a room haunted by the ghost of a 16-year-old girl.,662
297,Nisekoi,2014–2016,"Animation,Comedy,Romance",25,7.2,"The heir to a Yakuza Family is forced to be in a relationship with the daughter of the head of a gangster family to avoid a gang war, much to their chagrin.","3,936"
298,Mezzo Forte,2000–2001,"Animation,Action,Comedy",80,6.7,A young woman and her mercenary for hire team run afoul of a violent mob boss and his sociopath daughter.,"1,461"
299,"WataMote: No Matter How I Look at It, It's You Guys' Fault I'm Not Popular!",2013,"Animation,Comedy,Drama",25,7.2,"Kuroki Tomoko is a super popular female schoolgirl, with 50 years experience in dating and more than 100 boys - but just in the dating video games. In real life is a closed and shy person ...                See full summary »","2,339"
300,The World God Only Knows,2010–2013,"Animation,Comedy,Romance",24,7.3,A high school boy who is an expert at winning girls in video games unknowingly signs a demon contract to win them in real life -- or else.,"1,139"
301,Okko's Inn,2018,"Animation,Adventure,Drama",94,7.0,"After losing her parents in a car accident, Okko starts living in the countryside with her grandmother who runs a traditional Japanese inn. While she prepares to be the next owner of the inn, Okko can somehow see friendly ghosts.","2,211"
302,A Place Further Than the Universe,2018,"Animation,Adventure,Comedy",23,8.2,A group of high school girls join an expedition headed towards the Antarctic.,"2,621"
303,"Hensuki: Are you willing to fall in love with a pervert, as long as she's a cutie?",2019,"Animation,Comedy,Drama",23,6.3,A mysterious love letter winds up in Keiki's locker with a pair of white panties! Will he be able to find the panty-leaving-Cinderella?,952
304,Oni: Thunder God's Tale,2022,"Animation,Action,Adventure",167,8.1,"In a mystical world of Japanese gods and spirits, a courageous girl strives to follow in her mysterious father's footsteps and find her true powers.","1,123"
305,Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005,"Animation,Action,Adventure",105,7.3,"Edward Elric, an alchemist from an alternate world, races to prevent the Thule Society from harnessing alchemy to wage war on his home.","11,900"
306,Trigun: Badlands Rumble,2010,"Animation,Action,Adventure",90,7.4,"A gunfighter with a strict no-kill policy, Vash the Stampede arrives in a town full of bounty hunters competing to collect the reward for catching a robber he saved 20 years ago.","5,759"
307,School Days,2007,"Animation,Drama,Romance",NA,5.9,"Makoto Itou has a crush on Kotonoha Katsura, who rides the same train as him daily. Following urban legend, he sets her photo as his phone wallpaper - a love charm. When classmate Sekai Saionji notices, it seems his luck really does change.","2,787"
308,Handyman Saitou in another world,2023,"Animation,Adventure,Comedy",23,6.9,"Handyman Saitou has never felt special in his life. When he's dropped into a medieval fantasy world, he gathers a party of unique beings to survive. Surrounded by a heavy warrior, a ...                See full summary »",581
309,Roujin Z,1991,"Animation,Comedy,Drama",80,6.8,A compassionate young nurse is determined to help an elderly invalid strapped to a revolutionary health care bed but there are unexpected consequences.,"3,022"
310,Burn the Witch,2020,"Animation,Action,Fantasy",63,6.7,Noel Niihashi and Ninny Spangcole are witch and protection agents for Wing Bind an organization for dragon conservation and management. Their mission is to protect and manage the dragons within London on behalf of the people.,"1,115"
311,Chillin' in My 30s after Getting Fired from the Demon King's Army,2023,"Animation,Adventure,Comedy",23,6.6,"A hero's son, Dariel, was kidnapped and raised by his demon lord enemy to be his subordinate. But when Dariel is thrown out, he must find his own way to his own place in the world.",531
312,Boarding School Juliet,2018,"Animation,Action,Comedy",24,7.3,"""To Love, or not to Love"" Juliet Percia and Inuzuka Romio are archenemies. They lead two high-school dormitories the ""Black Dogs"" and the ""White Cats"" from two rivaling countries. Both ...                See full summary »",873
313,Kenji Miyazawa's Night on the Galactic Railroad,1985,"Animation,Adventure,Drama",113,7.0,Two kittens go on a metaphysical journey on a magical railroad train.,"2,263"
314,The Kingdom of Dreams and Madness,2013,Documentary,118,7.7,"Follows the routines of those employed at Studio Ghibli, including filmmakers Hayao Miyazaki, Isao Takahata, and Toshio Suzuki as they work to release two films simultaneously, The Wind Rises and The Tale of the Princess Kaguya.","5,486"
315,Majikoi ~ Oh! Samurai Girls,2011–2012,"Animation,Comedy,Romance",NA,5.6,"In Kawakami City, having a samurai ancestor and 'fighting spirit' isn't just an interesting fact, it dictates how you're ranked on the social totem pole. Fortunately, that's something kids ...                See full summary »",344
316,Pingu in the City,2017–2019,"Animation,Short,Comedy",7,7.3,"Pingu and his family move from their small village to the big city; in which there are many people with many different occupations. The ever-curious Pingu tries to join them at their jobs, ...                See full summary »",182
317,The Garden of Sinners: Overlooking View,2007,"Animation,Action,Crime",49,6.9,"September 1998: A recent spate of unusual suicide incidents where several high school girls fell to their death, but left no suicide note and had apparently no reason to commit suicide. In ...                See full summary »","2,642"
318,Stand by Me Doraemon,2014,"Animation,Comedy,Drama",95,7.3,What will happen to Nobita's life after Doraemon leaves?,"8,901"
319,Kase-san and Morning Glories,2018,"Animation,Drama,Romance",58,7.2,"Yamada is a shy girl in high school who loves doing greenery committee work, but one day she falls into conversation with kase-san the popular and talented school track star. Suddenly ...                See full summary »",744
320,Revenger,2023–OA,"Animation,Action,Adventure",23,6.5,A vengeful samurai works with a mysterious organization to take revenge on behalf of those who have no power.,343
321,Monster Hunter: Legends of the Guild,2021OATVOAMovie,"Animation,Action,Adventure",58,5.1,"In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon.","1,446"
322,Mysterious Girlfriend X,2012,"Animation,Comedy,Mystery",30,7.1,"A newly transferred girl to Akira's school happens to drool on the desk. The otherwise normal Akira decides to taste it and it is now that things start to change as he will start going out with the girl, Mikoto, whom he seems destined for.",949
323,Urusei Yatsura 2: Beautiful Dreamer,1984,"Animation,Adventure,Comedy",90,7.4,"The night before the school festival, things seem to be repeating themselves. Gradually, all the world functions come to a stop, the only ones that are not affected are a select group of student friends.","2,143"
324,Tsuredure Children,2017,"Animation,Short,Comedy",13,7.3,"A series of stories, some loosely connected to each other, about young male and female highschool students struggling to confess their feelings to each other.","2,062"
325,Daily Lives of High School Boys,2012,"Animation,Comedy,Drama",24,7.8,A sketch comedy about three friends attending an all boys school.,"2,762"
326,Pokémon the Movie: The Power of Us,2018,"Animation,Action,Adventure",100,6.2,"Ash meets five residents who come together to save the day when a series of threats endanger the annual Wind Festival and the entire population of their home, Fula City","2,857"
327,Splinter Cell,,"Animation,Action,Adventure",NA,NA,TV series adaptation of the popular video game 'Splinter Cell'.,NA
328,ORESUKI: Are you the only one who loves me?,2019–2020,"Animation,Comedy,Drama",24,7.0,"A high school student's romantic expectations turn upside down, when the girls he likes go with someone else and a girl he hates makes a love confession to him. How will he be able to cope?","1,169"
329,Maesetsu!,2020,"Animation,Comedy",NA,6.4,Four girls work hard to become great comedians.,21
330,Stitch!,2008–2015,"Animation,Comedy,Family",NA,4.4,Follows a girl named Yuuna and her adventures with a mysterious space alien on an island off the coast of Japan.,337
331,A Returner's Magic Should Be Special,2023–OA,"Animation,Action,Adventure",NA,NA,"Just when he thinks it's the end, Desir wakes up 13 years in the past. Can he make the changes needed to save the world from destruction?",NA
332,Astro Boy,1963–1965,"Animation,Action,Adventure",30,7.4,"As long as trouble's brewing across the universe, the small but powerful robot, Astro Boy, will have adventures, assisted by his mentor, Dr. Elefun.","1,006"
333,Robot Carnival,1987OAVideo,"Animation,Comedy,Drama",90,6.8,"A collection of short stories, made by different animators with ""robot"" as the working title.","2,817"
334,Eternights,2023OAVideoOAGame,"Action,Romance",NA,6.8,"Eternights is a dating action game, blending a love story with adrenaline-driven combat as you make the most out of life during the apocalypse. Scavenge for supplies, explore dungeons - and go on dates.",7
335,Silver Fang,1986,"Animation,Action,Adventure",25,8.9,An Akita-Inu puppy is destined to defend his people against a monstrous bear.,"3,099"
336,Love Tyrant,2017,"Animation,Comedy,Drama",24,6.3,"When a strange girl named Guri comes knocking at Seiji Aino's door, he quickly finds himself thrust into a world of romantic troubles.",876
337,Giovanni's Island,2014,"Animation,Drama,History",102,7.3,"A dramatic yet heart-warming story of cross-cultural friendship among children in the aftermath of WWII, presented by Tokyo-based award-winning animation studio Production I.G. Based on true events.","2,166"
338,YU-NO: A Girl Who Chants Love at the Bound of This World,2019,"Animation,Drama,Mystery",25,6.4,"Arima Takuya is a young student whose father, a historian who has conducted various researches, disappeared recently. During a summer vacation Takuya receives a peculiar package from his ...                See full summary »",266
339,Koi to uso,2017–OA,"Animation,Drama,Romance",24,6.1,"Yukari Nejima is fifteen years old. He lives in a small corner of Japan, and can't seem to get ahead in life. But within him, he hides a heart burning with passion. What will happen when he falls in love? In Japan, love is forbidden.",768
340,Galaxy Express 999,1979,"Animation,Action,Adventure",129,7.4,The adventures of a brave young boy who travels from planet to planet in a determined quest to avenge his mother's death.,"2,263"
341,The Pet Girl of Sakurasou,2012–2013,"Animation,Comedy,Drama",24,7.7,Sorata had a cat living with her and is kicked out and forced to move into a small dorm call Sakuraso. All the residents are strange and very gifted.,"4,940"
342,Orenchi no Furo Jijou,2014,"Animation,Comedy,Fantasy",NA,6.5,A lonely man meets a handsome but homeless merman and brings him home to live with him in his bathtub.,238
343,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desuka?,2019–OA,"Animation,Adventure,Comedy",24,5.2,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,514
344,Horus: Prince of the Sun,1968,"Animation,Action,Adventure",82,6.6,"A boy with a mythical sword wants to protect a Norse village from an evil ice wizard and his minions, who destroyed his family's village. However, the villagers don't fully trust him and a mysterious girl with a dark secret befriends him.","2,434"
345,Poupelle of Chimney Town,2020,"Animation,Family,Fantasy",100,6.4,"A factory town is covered by chimney smoke, and as the townspeople haven't see the sky in centuries, they no longer believe that stars exist. A chimney sweep and a friendly monster named Poupelle decide to prove that stars are real.",583
346,Origin: Spirits of the Past,2006,"Animation,Adventure,Drama",94,6.3,It is 300 years into the future. Earth's environment had been devastated by mankind's own foolish plans and humankind is beleaguered by the sentient forests which they have awoken. The ...                See full summary »,"4,796"
347,Oban Star Racers: The Alwas Cycle,2006,"Animation,Action,Adventure",25,8.0,"Earth, 2082, twenty-five years after the failed invasion of the Crog forces. Young Eva (15) is determined to be reunited with her father, race manager Don Wei, who sent her off to a tough ...                See full summary »","2,048"
348,Project A-Ko,1986,"Animation,Action,Adventure",86,6.9,"A plucky, super-powered redhead finds herself saving her crybaby best friend from an amorous, bikini armor-clad classmate at their new school and aliens seeking to bring her home.","1,403"
349,Magical Sempai,2019,"Animation,Comedy,Drama",15,6.2,Our MC finds out that his school requires him to join a club and during his reluctant search he stumbles upon Tejina-senpai attempting magic tricks in her clubroom. Tejina-senpai has ...                See full summary »,660
350,Dragon Ball Z: Revival Fusion,1995,"Animation,Action,Sci-Fi",51,7.6,The universe is thrown into dimensional chaos as the dead come back to life. Now Goku and Vegeta must track down the cause of this uproar.,"11,670"
351,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,2023,"Animation,Action,Adventure",NA,6.0,A group of adventurers who had all been betrayed and expelled from their own parties decide to come together as their own party.,486
352,Made in Abyss: Journey's Dawn,2019,"Animation,Adventure,Family",119,7.4,"A girl named, Riko and her robot friend, Reg, journey down into a deadly, otherworldly chasm, known as the Abyss, in search of her lost mother.",808
353,Dakaichi: I'm Being Harassed by the Sexiest Man of the Year-,2018,"Animation,Comedy,Drama",24,7.3,"Saijou Takato's 5 year reign as the 'Most Huggable No. 1' has been snatched. Azumaya is a newbie actor with a 3-year debut, who uses his sincere sparkling smile to blackmail Takato into silence.","1,200"
354,MM!,2010,"Animation,Comedy,Romance",NA,6.8,Taro Sado is a masochist and goes to a high school with his male friend Tatsukichi Hayama. Taro falls in love for the first time with a girl and wants to be cured of his masochism so that ...                See full summary »,242
355,Ultramarine Magmell,2019,"Animation,Action,Adventure",24,6.1,"Unknown creatures. Deadly pitfalls. With so many reckless adventures out to make fortune, someone's got to rescue them.",764
356,Blend S,2017,"Animation,Comedy,Drama",23,6.9,"Sakuranomiya Maika is, by nature, a person with bad luck who always gets into trouble, but knows Dino, who manages a cafe. However, it is not any cafe, as the waitresses have to act according to their ""attributes.""","1,432"
357,Idaten Jump,2005–2006,"Animation,Adventure,Comedy",20,8.2,"The show follows the exciting adventures of Sho Yamato, a boy who loves to race his Idaten bike and ends up getting lost, along with his friends, in a mysterious place called the X-Zone. ...                See full summary »",677
358,Maoyu ~ Archenemy & Hero,2013–OA,"Animation,Fantasy,Romance",23,6.8,"After a long and treacherous journey, our Hero finally arrives at the Dark Lady's castle only to find himself being asked for help. The Hero explains how the war that the demons have ...                See full summary »",779
359,Urusei Yatsura,2022–OA,"Animation,Action,Adventure",25,7.0,A young man cursed with misfortune finds himself tied to an alien wife.,481
360,The 8th Son? Are You Kidding Me?,2020,"Animation,Action,Adventure",24,6.5,"Shingo Ichinomiya, a 25-year-old man working at a firm company reincarnated as the youngest child of a poor noble family living in a back country. He is blessed with a very rare talent, but in his situation it only brought disaster.","1,220"
361,Appleseed,2004,"Animation,Action,Adventure",101,6.9,"In a utopian society created at the end of the third world war, a female warrior who has been plucked from the badlands begins to see cracks in this new facade. And what does this community have planned for the rest of humankind?","18,407"
362,Cat Soup,2001,"Animation,Short,Comedy",34,7.6,A young anthropomorphic cat goes on a psychedelic journey with his sister in order to save her soul.,"5,769"
363,Aho Girl,2017,"Animation,Short,Comedy",12,6.6,The adventures of an idiot girl and her long-suffering friends.,"1,259"
364,Saekano: How to Raise a Boring Girlfriend,2015–2017,"Animation,Comedy,Drama",24,7.0,"Aki,a highschool otaku work to support his game making. With remarkable luck, he bumps into Kato, the most beautiful girl he has ever seen. Naturally, the meeting twists his life into a complicated relationships.","1,491"
365,Ghost in the Shell: SAC_2045 - Sustainable War,2021,"Animation,Action,Sci-Fi",119,5.9,"In the year 2045, cybernetic mercenary Motoko Kusanagi returns to Section 9 to face a dangerous new threat: the posthumans. A feature-length recut of the first season of Ghost in the Shell: SAC_2045.",434
366,Aikatsu on Parade!,2019–OA,"Animation,Adventure,Comedy",24,6.4,"Raki Kiseki is a second-year middle school student who transfers to Star Harmony Academy to become an idol. However, when she uses an Aikatsu Pass she received from her elder sister Saya, ...                See full summary »",11
367,Time of Eve,2010,"Animation,Drama,Romance",106,7.2,"In a not too distant future, a young man's outlook on his home android begins to change after tracking the android's behavioral log to a mysterious cafe.","4,014"
368,"Saving 80,000 Gold in Another World for my Retirement",2023,"Animation,Action,Adventure",NA,6.5,"One day, Mitsuha falls off a cliff and is transported to a medieval Europe-type world. After a near-death encounter with a pack of wolves, she then realizes that she's able to transport ...                See full summary »",306
369,Astro Boy,1980–2004,"Animation,Action,Adventure",24,7.3,"Originally intended to be kept a secret, the Pinocchio-like character becomes a publicly renowned superhero -- complete with devices like laser-firing fingers, uncanny hearing, and ...                See full summary »",968
370,Brothers Conflict,2013–OA,"Animation,Comedy,Romance",24,5.9,"After Ema's dad decides to marry a woman by the name of Miwa Asahina, Ema discovers that she has 13 step brothers!",852
371,Senpai ga Uzai Kouhai no Hanashi,2021,"Animation,Comedy,Romance",NA,7.3,"Igarashi Futuba's new job would be great if her senpai, Takeda Harumi, wasn't so incredibly annoying. Futuba hates his laugh, she hates how big he is, and she really hates that he treats ...                See full summary »","1,128"
372,Akuma Kun,2023–OA,"Animation,Adventure,Fantasy",25,NA,"A boy trying create a society where humanity realizes it's true potential and lives happily, with the help of some unlikely allies.",NA
373,"How Clumsy You Are, Miss Ueno.",2019–OA,"Animation,Comedy,Romance",15,5.9,"Ueno-san, who is in her third year of junior high school, is in love with the concept of falling in love. She makes full use of her inventions and tries to show it off to Tanaka, her Science Club junior.",194
374,Princess Connect! Re: Dive,2020–OA,"Animation,Action,Adventure",23,6.4,"After falling from the sky with no memories of his past, Yuuki forms an alliance with 3 new friends, and the hidden mysteries surrounding him and his allies begin to be revealed.",588
375,Yu-Gi-Oh!: The Dark Side of Dimensions,2016,"Animation,Adventure,Drama",130,6.9,Yugi and Kaiba have a special duel that transcends dimensions.,"3,362"
376,The Anthem of the Heart,2015,"Animation,Drama,Family",119,7.3,"A young girl had her voice magically taken away so that she would never hurt people with it, but her outlook changes when she encounters music and friendship.","6,153"
377,Ya Boy Kongming!,2022,"Animation,Comedy,Fantasy",24,7.6,"The music industry becomes a battlefield when ancient strategist Kongming is transported to modern Japan. He'll use military tactics to turn his new friend Eiko into a music star, and together they'll take Shibuya by storm.",950
378,Boys Over Flowers,1996–1997,"Animation,Comedy,Drama",25,7.5,A hard-working middle-class student at a prestigious school finds herself involved in the lives of four infamous bullies.,372
379,Dead Leaves,2004,"Animation,Action,Adventure",55,7.1,Two aliens awaken on Earth with no recollection of their past and embark on a devastating crime spree but are sent to an infamous lunar penitentiary named Dead Leaves.,"4,281"
380,Stand by Me Doraemon 2,2020,"Animation,Comedy,Drama",96,7.5,"Nobita travels to the future to show his beloved grandma his bride, but adult Nobita has fled his own wedding. Can he ever be a good husband to Shizuka?","4,579"
381,Children of the Whales,2017,"Animation,Drama,Fantasy",24,7.0,"As a magic weilder, young archivist Chakuro knows his life will be short, but everything changes when a mysterious girl from the outside arrives on his island.","1,731"
382,Dusk Maiden of Amnesia,2012,"Animation,Comedy,Drama",24,7.3,"An old school building rumoured to be haunted is the place where a young woman was left to die. A freshman at the school, Niija Teiichi, stumbles upon the ghost of this woman and seems to ...                See full summary »","1,146"
383,Appleseed: Ex Machina,2007,"Animation,Action,Adventure",105,7.0,"With Brialeos convalescing after a mission, Deunan is assigned a new and remarkably familiar partner as a strange wave of terrorist attacks plague Olympus.","9,786"
